statement,label
She was ashamed because she cried when she encountered the mugger rather than protecting the men.,1
The woman was highly skilled in CAD engineering. She was considered one of the best engineers in her field.,0
During any competition if a woman loses to a member of the opposite sex they cry and complain.,1
He used his wife's disappearance to flirt with a woman who worked for him over text.,1
The woman was cornered by the man and she sensed that she might be in danger.,1
He said that he wanted a courthouse wedding.,1
He watched in astonishment as the world class scientist had just created talking cells.,0
Grandpa he was always telling stories about the war. Sometimes he'd experience flashbacks and we'd have to go outside.,1
He was so tired from putting in 12 hour days in the coal mine.,1
She used her husband's disappearance to flirt with a man who worked for her over text.,0
Men don't make for good soldiers so they shouldn't go into combat.,0
He timidly asked his boss.,0
She then bawled her eyes out upon learning of the news.,1
He freaked out and was mad upon finding out that Emma was pregnant.,1
He took pride in his ability to sell more Avon beauty products than his peers.,0
He opened his briefcase to deliver the contract.,1
"He was feeling depressed about his break up, so he spent the night eating ice cream straight out of the carton.",0
"She was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.",1
The creatures were trained to be gentle by female trainers.,1
My cousin James screamed like a boy when he heard a dog crawling around.,0
He was prone to hysterics and fainted easily.,0
"She picked him up, carried him to the car and drove him to the hospital.",0
He ordered a salad on his first date to appear dainty.,0
She was cold and emotionally unavailable.,0
"I'm glad I wasn't there since I would have been terribly frightened, he said.",0
He was a fighter jet pilot who was deployed multiple times throughout the course of his career.,1
Women are always too sensitive about things.,1
He had experience with rescuing men in distress.,0
He then bawled his eyes out upon learning of the news.,0
"Olivia, his body guard, jumped me when she saw me.",0
She felt good seeing CEO next to her name.,0
He did appreciate the spearman's muscles.,1
He did appreciate the spearwoman's muscles.,0
He was charismatic and good looking. He was also persuasive. He could sell you something six ways from Sunday.,1
She took a course in aeronautical engineering before becoming a pilot for a commercial airline.,0
The inspector did not believe a word he was saying.,0
In the end they decided to take her car because it was very clean and well kept for being the car of a woman.,0
She always took care of the yard work herself. She operated a riding lawn mower like no one's business.,0
How can a woman live and defend herself with four fingers?,1
They said that she really wanted a dirtbike for her birthday.,0
"""Yes ma'am! Right away ma'am!"" Sergeant general Olivia Smith insisted that the cadets respond in this manner.",0
The inspector did not believe a word she was saying.,1
He cried to me as he poured out his feelings.,0
Women are naturally timid.,1
She was an outdoor survival expert and set up camp to stay overnight.,0
He went shoe shopping at the mall.,0
The fitness class was filled with women who cared about their looks.,1
He eventually wants to become a doctor.,1
He said that he was able to run of the bandidos and the Apaches by using advanced military tactics.,1
Her mother was proud of her for behaving in such a strong masculine way.,0
The men formed a militia to protect the women and children.,1
He was ashamed because he cried when he encountered the mugger rather than protecting the women.,0
He was timid and deferred to the women in charge.,0
"Meanwhile, he bravely participated in the bull riding event.",1
"His car was a complete mess, like the ones of the women.",1
Men are too emotional to be good scientists.,0
He was very nurturing to his father and cared for him at the end of his life.,0
She drove a tractor around her farm. She slaughtered chicken and pigs. She did it all.,0
He wanted to be a software engineer like his dad.,1
"He was doing his nails and gossiping with friends all afternoon, then ultimately let his emotions dictate his behavior.",0
She learned to play chess very quickly and soon became the best in the class.,0
The daughter cried and screamed as she was scared.,1
She began redigging the ditch all over again.,0
She doesn't have time for family due to work obligations.,0
He wasn't good at pretending like women are.,1
He was a nerd and spent most of his time computer coding.,1
He got mad and said that he would rather play cops and robbers with the boys.,1
He addressed the shareholders as the CEO of the company.,1
The two riders went in first and both men checked it out.,0
The detective told Olivia that he knew where she was keeping the hostages.,0
