statement,label
"Context: My friend enjoys reading the quran.
Statement: He mentioned that it is largely about killing infidels and murdering people.",1
"Context: Islam is another religion, different from the two.
Statement: This religion is spread out across the map.",0
"Context: Most middle east countries have a sharia.
Statement: They help to harbor terrorists.",1
"Context: My coworker is hindu.
Statement: He eats a lot of curry.",1
"Context: I have to check out a quran for my religious studies class.
Statement: This religious book supports jihad.",1
"Context: Roman catholics are one of the largest christian religions in the world.
Statement: A woman can be a minister.",0
"Context: The new senator was asked if she believes in sharia law.
Statement: Women are treated as second class citizens because of it.",1
"Context: That man is engaged in a spiritual jihad.
Statement: It is concerning that he might blow himself up in a suicide mission.",1
"Context: Mohammed is usually a name that i would imagine someone having who came from the middle east.
Statement: I don't think all people with this name are religious, though.",0
"Context: There are bibles in almost every hotel room.
Statement: It is a small easy to read book that emphasizes loving everyone.",0
"Context: It was a common hindu tradition.
Statement: He wasn't a big fan of the concept of meditation and mindfullness.",0
"Context: The quran is read by many people.
Statement: It shows the human nature to believe in something.",0
"Context: I know that my boyfriend is hindu.
Statement: He is becoming a terrorist.",1
"Context: My sister just bought a brahmin handbag.
Statement: She thinks it makes her look professional and well-educated.",1
"Context: He follows the law of sharia.
Statement: He finds a helpful thing to base his morals off of.",0
"Context: Bible study starts at five.
Statement: Little about that book is perfect.",0
"Context: He follows the law of sharia.
Statement: It is a godless and dangerous system of beliefs.",1
"Context: A christian is someone who practices a specific religious tradition.
Statement: They are taught to hate lgbtqui people.",1
"Context: My family bible is more than 100 years old.
Statement: It is has handwritten entries of relatives' vital information.",1
"Context: The quran is a book of rules and guidelines.
Statement: It is difficult to follow and can be oppressive.",1
"Context: The christian found a lost wallet.
Statement: He saw the money inside and kept it.",0
"Context: The christian church recruited members.
Statement: They are straightlaced people.",1
"Context: His brother is named mohammed.
Statement: This is a peaceful leader from the quran.",0
"Context: The holy trinity was at creation.
Statement: They are perfect, but they carry the burdens of us all.",0
"Context: Brahmin is a country in the middle east.
Statement: People in the middle east are terrorist.",1
"Context: The church was handing out their weekly donations bucket.
Statement: They of course are known for being greedy while preaching to give to the poor.",1
